"Time differences (ps)"	"Normalized correlation (g2)"
-1000000	0.05045031990578097
-998000	0.03982919992561656
-996000	0.04248447992065766
-994000	0.05841615989090428
-992000	0.05841615989090428
-990000	0.05841615989090428
-988000	0.03451863993553435
-986000	0.061071439885945385
-984000	0.03982919992561656
-982000	0.04513975991569876
-980000	0.04248447992065766
-978000	0.04513975991569876
-976000	0.023897519955369935
-974000	0.03717391993057545
-972000	0.04513975991569876
-970000	0.026552799950411037
-968000	0.04779503991073987
-966000	0.04248447992065766
-964000	0.05045031990578097
-962000	0.03717391993057545
-960000	0.05576087989586318
-958000	0.03186335994049325
-956000	0.03982919992561656
-954000	0.03982919992561656
-952000	0.03186335994049325
-950000	0.04248447992065766
-948000	0.03451863993553435
-946000	0.05841615989090428
-944000	0.03186335994049325
-942000	0.04779503991073987
-940000	0.04513975991569876
-938000	0.04779503991073987
-936000	0.03451863993553435
-934000	0.04248447992065766
-932000	0.05310559990082207
-930000	0.04513975991569876
-928000	0.04513975991569876
-926000	0.04513975991569876
-924000	0.03717391993057545
-922000	0.04513975991569876
-920000	0.05310559990082207
-918000	0.03451863993553435
-916000	0.061071439885945385
-914000	0.05045031990578097
-912000	0.02920807994545214
-910000	0.03451863993553435
-908000	0.03451863993553435
-906000	0.03982919992561656
-904000	0.03451863993553435
-902000	0.03451863993553435
-900000	0.04779503991073987
-898000	0.03717391993057545
-896000	0.03186335994049325
-894000	0.05310559990082207
-892000	0.04779503991073987
-890000	0.0637267198809865
-888000	0.04779503991073987
-886000	0.04248447992065766
-884000	0.04248447992065766
-882000	0.03186335994049325
-880000	0.03717391993057545
-878000	0.023897519955369935
-876000	0.05045031990578097
-874000	0.02124223996032883
-872000	0.026552799950411037
-870000	0.05045031990578097
-868000	0.03186335994049325
-866000	0.03717391993057545
-864000	0.03982919992561656
-862000	0.05576087989586318
-860000	0.03451863993553435
-858000	0.03717391993057545
-856000	0.03186335994049325
-854000	0.03982919992561656
-852000	0.026552799950411037
-850000	0.05045031990578097
-848000	0.03451863993553435
-846000	0.04779503991073987
-844000	0.03982919992561656
-842000	0.04513975991569876
-840000	0.04779503991073987
-838000	0.05045031990578097
-836000	0.04248447992065766
-834000	0.04248447992065766
-832000	0.026552799950411037
-830000	0.03982919992561656
-828000	0.02920807994545214
-826000	0.03982919992561656
-824000	0.05310559990082207
-822000	0.05576087989586318
-820000	0.03451863993553435
-818000	0.02920807994545214
-816000	0.03982919992561656
-814000	0.04248447992065766
-812000	0.04513975991569876
-810000	0.05576087989586318
-808000	0.061071439885945385
-806000	0.03982919992561656
-804000	0.05841615989090428
-802000	0.05576087989586318
-800000	0.05045031990578097
-798000	0.05841615989090428
-796000	0.05310559990082207
-794000	0.03982919992561656
-792000	0.03186335994049325
-790000	0.04513975991569876
-788000	0.04248447992065766
-786000	0.03982919992561656
-784000	0.02920807994545214
-782000	0.03451863993553435
-780000	0.04779503991073987
-778000	0.04248447992065766
-776000	0.04248447992065766
-774000	0.04779503991073987
-772000	0.05045031990578097
-770000	0.03186335994049325
-768000	0.04513975991569876
-766000	0.05310559990082207
-764000	0.05576087989586318
-762000	0.03717391993057545
-760000	0.04513975991569876
-758000	0.03186335994049325
-756000	0.03982919992561656
-754000	0.03717391993057545
-752000	0.04248447992065766
-750000	0.026552799950411037
-748000	0.023897519955369935
-746000	0.04248447992065766
-744000	0.04779503991073987
-742000	0.05576087989586318
-740000	0.03982919992561656
-738000	0.04248447992065766
-736000	0.05841615989090428
-734000	0.04248447992065766
-732000	0.03982919992561656
-730000	0.05310559990082207
-728000	0.04779503991073987
-726000	0.03982919992561656
-724000	0.05045031990578097
-722000	0.05841615989090428
-720000	0.04248447992065766
-718000	0.05310559990082207
-716000	0.03717391993057545
-714000	0.03451863993553435
-712000	0.04779503991073987
-710000	0.04779503991073987
-708000	0.03451863993553435
-706000	0.03717391993057545
-704000	0.04513975991569876
-702000	0.03982919992561656
-700000	0.02124223996032883
-698000	0.03982919992561656
-696000	0.03982919992561656
-694000	0.061071439885945385
-692000	0.05310559990082207
-690000	0.03451863993553435
-688000	0.02920807994545214
-686000	0.03451863993553435
-684000	0.03982919992561656
-682000	0.05576087989586318
-680000	0.05310559990082207
-678000	0.023897519955369935
-676000	0.04513975991569876
-674000	0.03186335994049325
-672000	0.04248447992065766
-670000	0.0637267198809865
-668000	0.05841615989090428
-666000	0.03186335994049325
-664000	0.03186335994049325
-662000	0.05310559990082207
-660000	0.04248447992065766
-658000	0.03451863993553435
-656000	0.05841615989090428
-654000	0.04248447992065766
-652000	0.04779503991073987
-650000	0.05045031990578097
-648000	0.03451863993553435
-646000	0.05841615989090428
-644000	0.03717391993057545
-642000	0.04779503991073987
-640000	0.03186335994049325
-638000	0.026552799950411037
-636000	0.061071439885945385
-634000	0.04248447992065766
-632000	0.02920807994545214
-630000	0.04779503991073987
-628000	0.04779503991073987
-626000	0.05045031990578097
-624000	0.04779503991073987
-622000	0.03982919992561656
-620000	0.03451863993553435
-618000	0.07965839985123312
-616000	0.05310559990082207
-614000	0.04248447992065766
-612000	0.03717391993057545
-610000	0.03186335994049325
-608000	0.03717391993057545
-606000	0.0716925598661098
-604000	0.03982919992561656
-602000	0.03982919992561656
-600000	0.05310559990082207
-598000	0.03717391993057545
-596000	0.0690372798710687
-594000	0.04779503991073987
-592000	0.05310559990082207
-590000	0.04513975991569876
-588000	0.04248447992065766
-586000	0.03982919992561656
-584000	0.03186335994049325
-582000	0.05310559990082207
-580000	0.05310559990082207
-578000	0.04248447992065766
-576000	0.03982919992561656
-574000	0.05576087989586318
-572000	0.03186335994049325
-570000	0.03451863993553435
-568000	0.05841615989090428
-566000	0.023897519955369935
-564000	0.05045031990578097
-562000	0.03982919992561656
-560000	0.03186335994049325
-558000	0.03717391993057545
-556000	0.03982919992561656
-554000	0.04513975991569876
-552000	0.0637267198809865
-550000	0.03982919992561656
-548000	0.05841615989090428
-546000	0.04248447992065766
-544000	0.04779503991073987
-542000	0.04779503991073987
-540000	0.03451863993553435
-538000	0.0637267198809865
-536000	0.04779503991073987
-534000	0.03717391993057545
-532000	0.026552799950411037
-530000	0.03451863993553435
-528000	0.05841615989090428
-526000	0.05045031990578097
-524000	0.04513975991569876
-522000	0.04779503991073987
-520000	0.023897519955369935
-518000	0.04513975991569876
-516000	0.05576087989586318
-514000	0.05576087989586318
-512000	0.05841615989090428
-510000	0.03982919992561656
-508000	0.03451863993553435
-506000	0.03451863993553435
-504000	0.04513975991569876
-502000	0.03451863993553435
-500000	0.04513975991569876
-498000	0.03717391993057545
-496000	0.03982919992561656
-494000	0.03982919992561656
-492000	0.026552799950411037
-490000	0.05045031990578097
-488000	0.0637267198809865
-486000	0.03451863993553435
-484000	0.03717391993057545
-482000	0.03186335994049325
-480000	0.04248447992065766
-478000	0.05841615989090428
-476000	0.03982919992561656
-474000	0.03982919992561656
-472000	0.03451863993553435
-470000	0.03717391993057545
-468000	0.04248447992065766
-466000	0.04248447992065766
-464000	0.05045031990578097
-462000	0.02920807994545214
-460000	0.04779503991073987
-458000	0.03451863993553435
-456000	0.03451863993553435
-454000	0.03451863993553435
-452000	0.04513975991569876
-450000	0.03451863993553435
-448000	0.05841615989090428
-446000	0.03451863993553435
-444000	0.03982919992561656
-442000	0.04779503991073987
-440000	0.04513975991569876
-438000	0.03982919992561656
-436000	0.03717391993057545
-434000	0.05310559990082207
-432000	0.03717391993057545
-430000	0.05841615989090428
-428000	0.04248447992065766
-426000	0.04248447992065766
-424000	0.04248447992065766
-422000	0.04248447992065766
-420000	0.03451863993553435
-418000	0.02920807994545214
-416000	0.05576087989586318
-414000	0.026552799950411037
-412000	0.03451863993553435
-410000	0.04248447992065766
-408000	0.04513975991569876
-406000	0.04513975991569876
-404000	0.03186335994049325
-402000	0.03717391993057545
-400000	0.04513975991569876
-398000	0.04779503991073987
-396000	0.03451863993553435
-394000	0.03717391993057545
-392000	0.04779503991073987
-390000	0.0663819998760276
-388000	0.02124223996032883
-386000	0.03186335994049325
-384000	0.03451863993553435
-382000	0.061071439885945385
-380000	0.05310559990082207
-378000	0.03982919992561656
-376000	0.05841615989090428
-374000	0.04248447992065766
-372000	0.03982919992561656
-370000	0.04779503991073987
-368000	0.04248447992065766
-366000	0.05841615989090428
-364000	0.04513975991569876
-362000	0.03717391993057545
-360000	0.03717391993057545
-358000	0.0663819998760276
-356000	0.04779503991073987
-354000	0.02920807994545214
-352000	0.03451863993553435
-350000	0.05310559990082207
-348000	0.0637267198809865
-346000	0.04248447992065766
-344000	0.04779503991073987
-342000	0.03451863993553435
-340000	0.05045031990578097
-338000	0.02920807994545214
-336000	0.05841615989090428
-334000	0.05045031990578097
-332000	0.05310559990082207
-330000	0.04248447992065766
-328000	0.05310559990082207
-326000	0.03186335994049325
-324000	0.05045031990578097
-322000	0.05310559990082207
-320000	0.04513975991569876
-318000	0.03982919992561656
-316000	0.03982919992561656
-314000	0.03717391993057545
-312000	0.03982919992561656
-310000	0.05841615989090428
-308000	0.03982919992561656
-306000	0.04779503991073987
-304000	0.026552799950411037
-302000	0.02124223996032883
-300000	0.0690372798710687
-298000	0.05310559990082207
-296000	0.061071439885945385
-294000	0.061071439885945385
-292000	0.026552799950411037
-290000	0.03717391993057545
-288000	0.05045031990578097
-286000	0.05576087989586318
-284000	0.03186335994049325
-282000	0.04513975991569876
-280000	0.03982919992561656
-278000	0.04513975991569876
-276000	0.04513975991569876
-274000	0.026552799950411037
-272000	0.03717391993057545
-270000	0.04248447992065766
-268000	0.05310559990082207
-266000	0.02920807994545214
-264000	0.05841615989090428
-262000	0.026552799950411037
-260000	0.03982919992561656
-258000	0.026552799950411037
-256000	0.04248447992065766
-254000	0.03186335994049325
-252000	0.026552799950411037
-250000	0.04248447992065766
-248000	0.04248447992065766
-246000	0.05045031990578097
-244000	0.05576087989586318
-242000	0.0637267198809865
-240000	0.03982919992561656
-238000	0.02920807994545214
-236000	0.03451863993553435
-234000	0.04248447992065766
-232000	0.05310559990082207
-230000	0.03451863993553435
-228000	0.03186335994049325
-226000	0.03982919992561656
-224000	0.04248447992065766
-222000	0.04513975991569876
-220000	0.03717391993057545
-218000	0.03186335994049325
-216000	0.05576087989586318
-214000	0.04248447992065766
-212000	0.04513975991569876
-210000	0.03717391993057545
-208000	0.02920807994545214
-206000	0.05045031990578097
-204000	0.04513975991569876
-202000	0.03451863993553435
-200000	0.04513975991569876
-198000	0.03717391993057545
-196000	0.061071439885945385
-194000	0.0663819998760276
-192000	0.02124223996032883
-190000	0.03717391993057545
-188000	0.05576087989586318
-186000	0.0663819998760276
-184000	0.02920807994545214
-182000	0.03717391993057545
-180000	0.0690372798710687
-178000	0.0637267198809865
-176000	0.03186335994049325
-174000	0.05576087989586318
-172000	0.03451863993553435
-170000	0.0663819998760276
-168000	0.05310559990082207
-166000	0.04248447992065766
-164000	0.04779503991073987
-162000	0.023897519955369935
-160000	0.04248447992065766
-158000	0.04513975991569876
-156000	0.03186335994049325
-154000	0.04779503991073987
-152000	0.0637267198809865
-150000	0.05576087989586318
-148000	0.05310559990082207
-146000	0.03717391993057545
-144000	0.04248447992065766
-142000	0.05045031990578097
-140000	0.03982919992561656
-138000	0.03982919992561656
-136000	0.03982919992561656
-134000	0.03982919992561656
-132000	0.03717391993057545
-130000	0.026552799950411037
-128000	0.03451863993553435
-126000	0.0663819998760276
-124000	0.03982919992561656
-122000	0.0716925598661098
-120000	0.03982919992561656
-118000	0.04779503991073987
-116000	0.05045031990578097
-114000	0.03717391993057545
-112000	0.05841615989090428
-110000	0.03982919992561656
-108000	0.03982919992561656
-106000	0.05045031990578097
-104000	0.04248447992065766
-102000	0.03717391993057545
-100000	0.026552799950411037
-98000	0.03186335994049325
-96000	0.05310559990082207
-94000	0.018586959965287725
-92000	0.05045031990578097
-90000	0.03717391993057545
-88000	0.03982919992561656
-86000	0.05841615989090428
-84000	0.0690372798710687
-82000	0.05576087989586318
-80000	0.03717391993057545
-78000	0.04513975991569876
-76000	0.03982919992561656
-74000	0.05576087989586318
-72000	0.04248447992065766
-70000	0.04779503991073987
-68000	0.05576087989586318
-66000	0.04513975991569876
-64000	0.02920807994545214
-62000	0.03717391993057545
-60000	0.04779503991073987
-58000	0.05576087989586318
-56000	0.03982919992561656
-54000	0.02124223996032883
-52000	0.03451863993553435
-50000	0.05045031990578097
-48000	0.04779503991073987
-46000	0.04513975991569876
-44000	0.04248447992065766
-42000	0.03717391993057545
-40000	0.026552799950411037
-38000	0.02920807994545214
-36000	0.023897519955369935
-34000	0.04779503991073987
-32000	0.04513975991569876
-30000	0.04779503991073987
-28000	0.05310559990082207
-26000	0.0663819998760276
-24000	0.04779503991073987
-22000	0.04779503991073987
-20000	0.026552799950411037
-18000	0.04248447992065766
-16000	0.03186335994049325
-14000	0.04248447992065766
-12000	0.03717391993057545
-10000	0.05841615989090428
-8000	0.05310559990082207
-6000	0.03982919992561656
-4000	0.03982919992561656
-2000	0.03982919992561656
0	0.03717391993057545
2000	0.04779503991073987
4000	0.05045031990578097
6000	0.05576087989586318
8000	0.03186335994049325
10000	0.05576087989586318
12000	0.04248447992065766
14000	0.04248447992065766
16000	0.04513975991569876
18000	0.04248447992065766
20000	0.05310559990082207
22000	0.04248447992065766
24000	0.03982919992561656
26000	0.03717391993057545
28000	0.04779503991073987
30000	0.03186335994049325
32000	0.02124223996032883
34000	0.03717391993057545
36000	0.026552799950411037
38000	0.05045031990578097
40000	0.02920807994545214
42000	0.0690372798710687
44000	0.04779503991073987
46000	0.04513975991569876
48000	0.05045031990578097
50000	0.04779503991073987
52000	0.04513975991569876
54000	0.03186335994049325
56000	0.03982919992561656
58000	0.05310559990082207
60000	0.02920807994545214
62000	0.03717391993057545
64000	0.04513975991569876
66000	0.05310559990082207
68000	0.03451863993553435
70000	0.05576087989586318
72000	0.05576087989586318
74000	0.0637267198809865
76000	0.03186335994049325
78000	0.03717391993057545
80000	0.04513975991569876
82000	0.03186335994049325
84000	0.05841615989090428
86000	0.0743478398611509
88000	0.03717391993057545
90000	0.03982919992561656
92000	0.05841615989090428
94000	0.04779503991073987
96000	0.03982919992561656
98000	0.04248447992065766
100000	0.04248447992065766
102000	0.04779503991073987
104000	0.05841615989090428
106000	0.05310559990082207
108000	0.03451863993553435
110000	0.03982919992561656
112000	0.0637267198809865
114000	0.03982919992561656
116000	0.04779503991073987
118000	0.04248447992065766
120000	0.03186335994049325
122000	0.04248447992065766
124000	0.05576087989586318
126000	0.03982919992561656
128000	0.04248447992065766
130000	0.061071439885945385
132000	0.03451863993553435
134000	0.05045031990578097
136000	0.04779503991073987
138000	0.061071439885945385
140000	0.03186335994049325
142000	0.03717391993057545
144000	0.04513975991569876
146000	0.026552799950411037
148000	0.04513975991569876
150000	0.02124223996032883
152000	0.04248447992065766
154000	0.04248447992065766
156000	0.04513975991569876
158000	0.0716925598661098
160000	0.015931679970246623
162000	0.05045031990578097
164000	0.05576087989586318
166000	0.04779503991073987
168000	0.03186335994049325
170000	0.04513975991569876
172000	0.04779503991073987
174000	0.04248447992065766
176000	0.0663819998760276
178000	0.05576087989586318
180000	0.04248447992065766
182000	0.02920807994545214
184000	0.03717391993057545
186000	0.04513975991569876
188000	0.03982919992561656
190000	0.05310559990082207
192000	0.05045031990578097
194000	0.03186335994049325
196000	0.04513975991569876
198000	0.05045031990578097
200000	0.04779503991073987
202000	0.03451863993553435
204000	0.02920807994545214
206000	0.04248447992065766
208000	0.03717391993057545
210000	0.03717391993057545
212000	0.05045031990578097
214000	0.04513975991569876
216000	0.03186335994049325
218000	0.03717391993057545
220000	0.03186335994049325
222000	0.05841615989090428
224000	0.04513975991569876
226000	0.03982919992561656
228000	0.026552799950411037
230000	0.023897519955369935
232000	0.05841615989090428
234000	0.03186335994049325
236000	0.061071439885945385
238000	0.04779503991073987
240000	0.05045031990578097
242000	0.03982919992561656
244000	0.03451863993553435
246000	0.04248447992065766
248000	0.023897519955369935
250000	0.03717391993057545
252000	0.03451863993553435
254000	0.04248447992065766
256000	0.03186335994049325
258000	0.04248447992065766
260000	0.04779503991073987
262000	0.03186335994049325
264000	0.04248447992065766
266000	0.03982919992561656
268000	0.03186335994049325
270000	0.04779503991073987
272000	0.05576087989586318
274000	0.03982919992561656
276000	0.05576087989586318
278000	0.03451863993553435
280000	0.03186335994049325
282000	0.05310559990082207
284000	0.03186335994049325
286000	0.05045031990578097
288000	0.0663819998760276
290000	0.04513975991569876
292000	0.04779503991073987
294000	0.03982919992561656
296000	0.05310559990082207
298000	0.05045031990578097
300000	0.04513975991569876
302000	0.03717391993057545
304000	0.018586959965287725
306000	0.05576087989586318
308000	0.0637267198809865
310000	0.05045031990578097
312000	0.03982919992561656
314000	0.05045031990578097
316000	0.05841615989090428
318000	0.04513975991569876
320000	0.04779503991073987
322000	0.03717391993057545
324000	0.03451863993553435
326000	0.04779503991073987
328000	0.05841615989090428
330000	0.03186335994049325
332000	0.03982919992561656
334000	0.04779503991073987
336000	0.03717391993057545
338000	0.04513975991569876
340000	0.03717391993057545
342000	0.05310559990082207
344000	0.03717391993057545
346000	0.04248447992065766
348000	0.03717391993057545
350000	0.03451863993553435
352000	0.018586959965287725
354000	0.02920807994545214
356000	0.03982919992561656
358000	0.05045031990578097
360000	0.0637267198809865
362000	0.02920807994545214
364000	0.02124223996032883
366000	0.03451863993553435
368000	0.0637267198809865
370000	0.04248447992065766
372000	0.03717391993057545
374000	0.04248447992065766
376000	0.02920807994545214
378000	0.05841615989090428
380000	0.0663819998760276
382000	0.03451863993553435
384000	0.03451863993553435
386000	0.05045031990578097
388000	0.04248447992065766
390000	0.061071439885945385
392000	0.0637267198809865
394000	0.0637267198809865
396000	0.05310559990082207
398000	0.0637267198809865
400000	0.04513975991569876
402000	0.04248447992065766
404000	0.04513975991569876
406000	0.03982919992561656
408000	0.04779503991073987
410000	0.023897519955369935
412000	0.04513975991569876
414000	0.02920807994545214
416000	0.03982919992561656
418000	0.03717391993057545
420000	0.04248447992065766
422000	0.03451863993553435
424000	0.04248447992065766
426000	0.05045031990578097
428000	0.04513975991569876
430000	0.04248447992065766
432000	0.04779503991073987
434000	0.04248447992065766
436000	0.03982919992561656
438000	0.03717391993057545
440000	0.061071439885945385
442000	0.04779503991073987
444000	0.05841615989090428
446000	0.03186335994049325
448000	0.061071439885945385
450000	0.05576087989586318
452000	0.03717391993057545
454000	0.05841615989090428
456000	0.04513975991569876
458000	0.05045031990578097
460000	0.04779503991073987
462000	0.04513975991569876
464000	0.023897519955369935
466000	0.05310559990082207
468000	0.04779503991073987
470000	0.05576087989586318
472000	0.03186335994049325
474000	0.03186335994049325
476000	0.03717391993057545
478000	0.04779503991073987
480000	0.05310559990082207
482000	0.03451863993553435
484000	0.04248447992065766
486000	0.05310559990082207
488000	0.03451863993553435
490000	0.05045031990578097
492000	0.013276399975205518
494000	0.04779503991073987
496000	0.03451863993553435
498000	0.04779503991073987
500000	0.03451863993553435
502000	0.03186335994049325
504000	0.03451863993553435
506000	0.02920807994545214
508000	0.03982919992561656
510000	0.03186335994049325
512000	0.05576087989586318
514000	0.03982919992561656
516000	0.03451863993553435
518000	0.03451863993553435
520000	0.03982919992561656
522000	0.04779503991073987
524000	0.04248447992065766
526000	0.03451863993553435
528000	0.02920807994545214
530000	0.04779503991073987
532000	0.05576087989586318
534000	0.05045031990578097
536000	0.04779503991073987
538000	0.04248447992065766
540000	0.04513975991569876
542000	0.03717391993057545
544000	0.05841615989090428
546000	0.05841615989090428
548000	0.0637267198809865
550000	0.03982919992561656
552000	0.04248447992065766
554000	0.04779503991073987
556000	0.04248447992065766
558000	0.04513975991569876
560000	0.05841615989090428
562000	0.04248447992065766
564000	0.05576087989586318
566000	0.04513975991569876
568000	0.05045031990578097
570000	0.03982919992561656
572000	0.023897519955369935
574000	0.03451863993553435
576000	0.02920807994545214
578000	0.03186335994049325
580000	0.05576087989586318
582000	0.04779503991073987
584000	0.04779503991073987
586000	0.03186335994049325
588000	0.03451863993553435
590000	0.04248447992065766
592000	0.03451863993553435
594000	0.03186335994049325
596000	0.04513975991569876
598000	0.03982919992561656
600000	0.04779503991073987
602000	0.05310559990082207
604000	0.04779503991073987
606000	0.03982919992561656
608000	0.04513975991569876
610000	0.03982919992561656
612000	0.0663819998760276
614000	0.04513975991569876
616000	0.05841615989090428
618000	0.03982919992561656
620000	0.02920807994545214
622000	0.026552799950411037
624000	0.03451863993553435
626000	0.04513975991569876
628000	0.03717391993057545
630000	0.04779503991073987
632000	0.02920807994545214
634000	0.05045031990578097
636000	0.023897519955369935
638000	0.03982919992561656
640000	0.03717391993057545
642000	0.04513975991569876
644000	0.026552799950411037
646000	0.04779503991073987
648000	0.02920807994545214
650000	0.03717391993057545
652000	0.026552799950411037
654000	0.03982919992561656
656000	0.02920807994545214
658000	0.04513975991569876
660000	0.03186335994049325
662000	0.03717391993057545
664000	0.061071439885945385
666000	0.03717391993057545
668000	0.05841615989090428
670000	0.05576087989586318
672000	0.04779503991073987
674000	0.02920807994545214
676000	0.05841615989090428
678000	0.03982919992561656
680000	0.04779503991073987
682000	0.03717391993057545
684000	0.03451863993553435
686000	0.03982919992561656
688000	0.05310559990082207
690000	0.04513975991569876
692000	0.03186335994049325
694000	0.03982919992561656
696000	0.03451863993553435
698000	0.05045031990578097
700000	0.026552799950411037
702000	0.03186335994049325
704000	0.04248447992065766
706000	0.05310559990082207
708000	0.02920807994545214
710000	0.04248447992065766
712000	0.05045031990578097
714000	0.03982919992561656
716000	0.02920807994545214
718000	0.05310559990082207
720000	0.05310559990082207
722000	0.05576087989586318
724000	0.03186335994049325
726000	0.023897519955369935
728000	0.03717391993057545
730000	0.05310559990082207
732000	0.05045031990578097
734000	0.03451863993553435
736000	0.05310559990082207
738000	0.07700311985619201
740000	0.10090063981156194
742000	4611.615947547528
744000	85.57436368018469
746000	1.229394637704031
748000	1.1205281579073458
750000	1.561304637084169
752000	5.873479349030921
754000	1.8507301565436494
756000	0.8364131984379477
758000	0.5230901590230974
760000	0.4381211991817821
762000	0.3717391993057545
764000	0.24163047954874045
766000	0.2177329595933705
768000	0.23631991955865822
770000	0.18586959965287725
772000	0.12214287977189077
774000	0.10355591980660304
776000	0.10355591980660304
778000	0.09293479982643862
780000	0.09559007982147974
782000	0.08762423983635642
784000	0.09027951983139752
786000	0.08762423983635642
788000	0.09824535981652084
790000	0.05576087989586318
792000	0.07700311985619201
794000	0.0663819998760276
796000	0.0663819998760276
798000	0.07700311985619201
800000	0.0637267198809865
802000	0.04248447992065766
804000	0.04779503991073987
806000	0.0637267198809865
808000	0.03186335994049325
810000	0.0637267198809865
812000	0.04779503991073987
814000	0.02124223996032883
816000	0.05045031990578097
818000	0.03982919992561656
820000	0.05576087989586318
822000	0.05045031990578097
824000	0.03451863993553435
826000	0.03451863993553435
828000	0.1486956797223018
830000	4.543184071515329
832000	7.12146094670024
834000	4.755606471118617
836000	1.2081523977437023
838000	1.1072517579321404
840000	1.149736237852798
842000	1.051490878036277
844000	1.0010405581304962
846000	0.868276558378441
848000	0.8443790384230709
850000	0.8788976783586053
852000	0.8496895984131532
854000	0.6478883187900293
856000	0.7009939186908514
858000	0.6505435987850704
860000	0.6611647187652349
862000	0.5788510389189606
864000	0.6372671988098649
866000	0.5974379988842483
868000	0.6213355188396182
870000	0.5655746389437551
872000	0.536366558998303
874000	0.6107143988594539
876000	0.4806056791024398
878000	0.5177795990330152
880000	0.4912267990826042
882000	0.5018479190627686
884000	0.5071584790528508
886000	0.46732927912723427
888000	0.4912267990826042
890000	0.43281063919169993
892000	0.43281063919169993
894000	0.37704975929583673
896000	0.4381211991817821
898000	0.43281063919169993
900000	0.34784167935038457
902000	0.3558075193355079
904000	0.40094727925120666
906000	0.39032615927104225
908000	0.3504969593454257
910000	0.30801247942476806
912000	0.31863359940493247
914000	0.40094727925120666
916000	0.3398758393652613
918000	0.3292547193850969
920000	0.3451863993553435
922000	0.38767087927600113
924000	0.3212888793999735
926000	0.39032615927104225
928000	0.3292547193850969
930000	0.3292547193850969
932000	0.37970503929087784
934000	0.29473607944956254
936000	0.31863359940493247
938000	0.30535719942972694
940000	0.281459679474357
942000	0.2920807994545214
944000	0.27349383948923367
946000	0.2841149594693981
948000	0.2575621595189871
950000	0.2575621595189871
952000	0.2575621595189871
954000	0.23631991955865822
956000	0.22569879957849381
958000	0.254906879523946
960000	0.23897519955369934
962000	0.2655279995041104
964000	0.24163047954874045
966000	0.2841149594693981
968000	0.27083855949419255
970000	0.27349383948923367
972000	0.22569879957849381
974000	0.23100935956857602
976000	0.27349383948923367
978000	0.19649071963304168
980000	0.23897519955369934
982000	0.18055903966279505
984000	0.2071118396132061
986000	0.2124223996032883
988000	0.22569879957849381
990000	0.18852487964791836
992000	0.2124223996032883
994000	0.18586959965287725
996000	0.22569879957849381
998000	0.17790375966775396
